Protein.Group,AccessionID,AreaAvg,AreaSD,AreaRSD,missingAreaCount,method,mass
12,A0A6M4AVG2,115189.317,5472.36812689689,4.75076011336788,0,DDA,57144
1912,A0R423,2655.48313333333,40.9674469506379,1.54274928115295,0,DDA,40103
2682,A0A8B4QG55,NA,NA,NA,3,DDA,33658
88,L0ITZ0,5635.00026666667,5210.74626042182,92.4710916385492,0,DDA,26457
231,A0QTE3,114896.491666667,10898.6620844491,9.48563522380464,0,DDA,40373
1809,I7FDD6,4395.424,NA,NA,2,DDA,52884
2286,A0A653FGC5,84.74104,NA,NA,2,DDA,16646
2842,I7FXM0,1402.029,567.318275928354,40.4640899673512,1,DDA,21338
1585,A0A8B4QGX1,1341.8719,803.055525179598,59.8459156331985,0,DDA,23095
1553,A0A8B4QN87,2530.48696666667,598.670538765057,23.6583134650034,0,DDA,40037
1977,A0A2U9PZN0,937.076966666667,254.6133110987,27.1710137113284,0,DDA,31781
2441,A0A653FKP0,161.65541,61.7322463330811,38.1875535950706,1,DDA,26055
2200,A0A653FLI5,972.962465,820.725596813214,84.3532640093381,1,DDA,12191
1228,A0R5U8,3211.41466666667,1294.00037285764,40.2937803793731,0,DDA,28026
372,A0A2U9PU98,7571.6518,2119.08211318555,27.9870518238246,0,DDA,32851
1030,A0A2U9PIV4,5390.84326666667,2435.09350132697,45.1709200373891,0,DDA,36971
2665,L0J0X8,4147.1865,NA,NA,2,DDA,34216
330,A0A2U9PLX8,97180.4133333333,9860.39787345994,10.1464868642185,0,DDA,55113
2130,I7GAN5,303.2971425,337.522936916986,111.284575296316,1,DDA,28674
2651,A0A8B4R273,124.90252,NA,NA,2,DDA,32025
270,A0A653FCM0,271041.273333333,2121.39552420884,0.782683573656288,0,DDA,31826
1395,A0A8B4QFY4,1547.56906666667,256.483270513075,16.5733004127253,0,DDA,36981
1729,L0IXK9,NA,NA,NA,3,DDA,54992
2386,A0QPL3,938.916306666667,48.5479096382381,5.17063228037784,0,DDA,17315
651,A0QPW1,54989.276,9376.36275326227,17.0512569637437,0,DDA,28300
1673,A0QWJ1,18701.6475,2636.37763008271,14.097034125377,1,DDA,55365
1074,I7GD68,29604.1973333333,3914.64747237875,13.2232852939775,0,DDA,61194
1587,A0A2U9PQ42,10681.008,1469.71369179579,13.7600654525845,0,DDA,30287
545,L0J0M6,4200.23694,3275.8967750967,77.9931423367917,0,DDA,43899
1115,A0A2U9PPB3,5431.71073333333,1501.86531755746,27.6499502880521,0,DDA,41494
495,A0A8B4QGL2,274130.49,21196.8591161592,7.73239748564968,0,DDA,34560
2185,A0QUZ2,611.56476,NA,NA,2,DDA,35923
2119,I7FFX2,522.62006,NA,NA,2,DDA,14165
1701,A0A8B4R8U8,3104.18416666667,53.666013177833,1.72882826199905,0,DDA,41331
2123,I7G1Z3,NA,NA,NA,3,DDA,27384
565,I7FPF9,55763.731,641.738854537418,1.15081764263123,0,DDA,69782
2842,A0A2U9PK53,1402.029,567.318275928354,40.4640899673512,1,DDA,27120
1878,I7G0X9,1909.71961333333,852.687606695573,44.6498847653999,0,DDA,88947
43,A0R2Y1,764427.136666667,29889.3902013747,3.9100378267194,0,DDA,67903
674,A0A2U9PL89,13122.9906666667,2016.08391772201,15.3629913251635,0,DDA,46892
1968,A0A2U9PNI0,120.33125,NA,NA,2,DDA,43908
303,A0A2U9PU27,5705.63433333333,1605.64550594592,28.1414022024765,0,DDA,60434
2830,A0A653FPS2,4848.10216666667,586.753013484024,12.1027361493796,0,DDA,18963
448,A0A2U9PUV0,81182.88,20733.7113392682,25.5395119503869,0,DDA,39134
1428,A0A653FDK3,20130.2514666667,27656.6832434067,137.38866247748,0,DDA,10774
2384,A0QYQ3,388.18948,NA,NA,2,DDA,58047
1195,L0J0T2,139.22905,NA,NA,2,DDA,46326
2077,L0IZ16,NA,NA,NA,3,DDA,159279
1695,I7FRB3,11805.0323333333,1985.35713583031,16.817888166425,0,DDA,24066
2656,A0A8B4QFA5,330.02823,94.21421456065,28.5473198946193,1,DDA,92898
510,A0A2U9PPJ9,41258.141,689.948777796584,1.67227306193118,0,DDA,10804
1705,A0A653FE04,40967.68,2371.98365607269,5.78989011843652,0,DDA,38777
2282,A0R1H6,13733.76,982.411836928382,7.15326201221211,0,DDA,8574
1324,A0A2U9PTK2,5244.78853333333,1459.15581390455,27.8210609375548,0,DDA,35359
423,A0A653FNR1,99028.6966666667,6169.95744171784,6.23047424574928,0,DDA,63367
1273,A0A2U9PNV2,2729.44836666667,1896.7237842278,69.491103308328,0,DDA,37301
1735,A0R1W8,27793.925,559.772361142455,2.01400975624154,0,DDA,47582
982,L0IVF1,NA,NA,NA,3,DDA,116494
2570,A0A2U9PUU1,465.96526,188.242713246057,40.3984437050215,0,DDA,88651
328,A0R5H6,47036.4636666667,5238.06820701223,11.1361862663249,0,DDA,35858
1179,L0J138,245.50983,NA,NA,2,DDA,31463
1640,A0QY08,1721.52033333333,579.264547799201,33.6484290416476,0,DDA,33266
1335,A0A653FIU6,14212.4795,1176.55568032308,8.27832807303664,1,DDA,38032
1258,A0A8B4R850,7618.01066666667,592.580159104515,7.77867326567822,0,DDA,32069
1099,A0A8B4QH11,16158.8327,16024.4649804703,99.1684565214315,0,DDA,14757
2814,A0A2U9PJV6,24825.943,NA,NA,2,DDA,15977
584,A0A8B4QLZ7,12747.8173333333,3746.29934386887,29.3877708309559,0,DDA,39763
1088,A0A8B4QJR1,3759.91206666667,2192.67894149884,58.3172931340055,0,DDA,15628
1369,A0R5B0,35016.322,12589.5782828778,35.9534570274909,0,DDA,23454
2505,A0A2U9PWF1,143.88766,NA,NA,2,DDA,26293
1420,A0R0S1,4022.75557666667,6075.62927874504,151.03152958101,0,DDA,32254
140,A0A8B4R626,54806.54,9706.67634767581,17.7107993821099,0,DDA,41224
1298,I7G5K3,14897.8143333333,8431.04226661072,56.5924777821036,0,DDA,20362
2620,A0QWP3,1525.3527,NA,NA,2,DDA,94977
1796,A0A2U9PZV6,1814.262,739.909537270172,40.782948508549,0,DDA,19495
301,A0A653FCS8,205157.083333333,4358.52962569183,2.12448410499686,0,DDA,27399
712,A0A8B4RAK9,10255.1743333333,464.643129850569,4.53081649075723,0,DDA,39718
1969,L0IXP7,22906.585,4692.38701517565,20.4848824701528,0,DDA,32884
2244,I7G5K2,1389.2582,1648.91050548757,118.689996250342,1,DDA,35888
923,A0A653FFF5,6858.75543333333,4508.92969161512,65.7397648223739,0,DDA,24390
1555,I7GA35,29766.375,2120.3732087576,7.12338404914136,0,DDA,36068
549,L0IRR1,342472.733333333,31312.8851726846,9.14317612030368,0,DDA,25144
1797,A0QQI1,1081.19256666667,370.714908934539,34.2875931969694,0,DDA,14076
1442,A0A2U9PTR6,22419.338,1338.37405720374,5.96973049428908,0,DDA,23525
2223,A0A2U9PHZ1,986.51416,NA,NA,2,DDA,27651
2267,A0QUZ8,109.40141,NA,NA,2,DDA,98787
415,L0ISE6,7767.64266666667,1728.5939137942,22.2537774711512,0,DDA,38936
79,I7GD61,544361.533333333,12011.5379881526,2.20653687901152,0,DDA,28707
2284,A0A2U9PTT8,1076.42086666667,214.431442800195,19.9207809361984,0,DDA,36680
682,A0A8B4R7Y2,17570.819,974.863830328625,5.54819801130855,0,DDA,35635
2171,A0A2U9PU64,NA,NA,NA,3,DDA,30707
2799,A0QQQ5,158.76303,NA,NA,2,DDA,28099
1231,A0A2U9PKT5,9476.00333333333,2142.3725351377,22.6083978632803,0,DDA,33727
1354,I7FGE2,1301.5191,1548.27931102979,118.959399906601,1,DDA,63835
886,A0A2U9PPB4,9783.59556666667,2831.94648420451,28.9458662197069,0,DDA,32913
2347,A0A653F8Z6,13375.0176666667,1152.87705197577,8.61963012466874,0,DDA,65940
2235,A0QZQ9,16899.553025,23472.0659122364,138.891637414987,1,DDA,29036
1344,A0A2U9PUY6,11149.2403333333,1597.44180057752,14.3278084678252,0,DDA,29109
905,L0IP22,3152.7344,1312.0228253079,41.6153934599723,0,DDA,15300
1504,A0A8B4QGV2,1407.56765,1486.49028920078,105.607022809936,0,DDA,18341
2471,A0QSY9,NA,NA,NA,3,DDA,68046
237,A0A2U9PPR3,55122.4486666667,5574.49838452092,10.1129367786811,0,DDA,25570
2629,A0A653FAH3,275.1513,NA,NA,2,DDA,24360
1752,A0QV58,1628.00768,1139.91032393642,70.0187313573622,1,DDA,52526
379,I7GER0,12649.9933333333,2368.79109423907,18.7256311669129,0,DDA,40863
654,A0QRN6,23579.9686666667,884.461317300724,3.75090115599273,0,DDA,31672
221,A0A2U9PLJ6,26802.7963333333,899.94196538351,3.35764206910118,0,DDA,39155
1339,A0A2U9PQZ0,6424.2894,343.615544393338,5.34869341959187,0,DDA,42591
2185,A0A8B4R9Z4,611.56476,NA,NA,2,DDA,12029
7,I7G359,22331.1606666667,4495.28259191147,20.1300893357572,0,DDA,40339
1083,A0A2U9PQ48,3168.0318,2598.81753207964,82.0325582615565,1,DDA,26836
316,Q50439,15220.237,1572.53058565358,10.3318403363468,0,DDA,25119
2218,A0QYB8,872.48956,NA,NA,2,DDA,18556
1552,I7FNN3,722.116626666667,543.465432503476,75.2600636011035,0,DDA,50800
824,A0QSD5,20777.4533333333,3816.3793776943,18.3678880971022,0,DDA,28065
306,A0QXC0,137415.276666667,13268.2087454424,9.65555582122616,0,DDA,17767
1213,A0A2U9Q0Q4,14973.3113333333,764.000546354735,5.1024154199875,0,DDA,22494
357,A0R012,127553.665,10701.4268841554,8.38974472756659,0,DDA,17461
2454,I7GFC4,1146.9053,NA,NA,2,DDA,36188
405,A0R1D1,85361.97,12942.5480144869,15.1619603138106,0,DDA,14838
1343,A0R5Z1,5334.65093333333,4975.05519247094,93.2592451623127,0,DDA,389864
993,A0QVL6,2320.65168666667,1394.03077707069,60.0706596806454,0,DDA,14361
81,A0QQF0,40038.0566666667,2918.35216929577,7.28894559891419,0,DDA,45125
2326,A0R325,338.126676666667,340.825571701827,100.79819050711,0,DDA,70831
140,L0IWB2,3127.81843333333,1199.49453085354,38.349237860819,0,DDA,24412
1575,A0A8B4R276,2153.3281,830.006969496925,38.5453089799425,0,DDA,26863
354,I7FZT6,1040960.76666667,34835.6106110304,3.34648641202684,0,DDA,40502
1104,A0R4C3,12709.5943333333,3965.69352175938,31.2023611277552,0,DDA,29411
651,A0A653FK65,54989.276,9376.36275326227,17.0512569637437,0,DDA,93412
1526,A0A8B4R2W8,1330.783135,740.136820809146,55.6166366512562,1,DDA,43919
2512,I7FFR7,NA,NA,NA,3,DDA,15950
2146,I7GCS6,791.78005,156.431681868051,19.756961780996,0,DDA,45399
1865,A0QVD5,2016.7033,107.82076605659,5.34638714859992,0,DDA,41407
1215,A0A2U9PSZ4,42936.1436666667,4196.46336544623,9.77373142316958,0,DDA,56311
1531,A0A653FCQ0,576.595213333333,564.096660460285,97.8323523012283,0,DDA,30658
883,A0A8B4QHX2,11259.2746666667,2133.46632250344,18.9485236453074,0,DDA,49786
1906,A0A2U9PME1,5510.22475,117.64948691399,2.13511230942059,1,DDA,40335
2720,A0QZM6,394.57602,NA,NA,2,DDA,60118
1986,A0A653FAV5,680.5533,255.965853600104,37.6114337554611,0,DDA,28223
2412,A0A653FMW1,796.57195,57.5005799432058,7.21850423470294,1,DDA,37596
1499,A0A2U9PYW2,8078.11133333333,4317.00044826965,53.4407149163205,0,DDA,55794
1673,I7FCY6,18701.6475,2636.37763008271,14.097034125377,1,DDA,45590
1377,A0A8B4QHX4,2587.36086666667,1811.38516628494,70.0089882946467,0,DDA,36281
1925,A0QW24,2172.08973333333,242.357651593968,11.1578102817162,0,DDA,51013
1982,A0A2U9PKS6,832.321236666667,117.912288398619,14.1666802676862,0,DDA,6954
1683,A0A8B4R2A0,2122.44563333333,179.702851750169,8.46678232544139,0,DDA,8503
1428,L0IRS7,1625.2247,NA,NA,2,DDA,14472
1911,A0A8B4R2C2,1282.30743333333,136.994325981419,10.6834229000221,0,DDA,49736
802,A0QWR8,29842.834,14179.2185559715,47.512975999436,0,DDA,41700
762,I7G7R3,11303.5108333333,384.854208939025,3.40473163261909,0,DDA,20836
1150,A0R4B5,16804.505,200.79530768671,1.19488974942559,0,DDA,29651
1141,A0A2U9PXK8,6312.368,540.76578685786,8.56676586120866,0,DDA,54005
2711,L0IX53,NA,NA,NA,3,DDA,43968
2201,I7G339,NA,NA,NA,3,DDA,16042
703,A0A2U9PTM2,30348.3027333333,40640.6133187178,133.913957811156,0,DDA,93453
126,A0A8B4QLB2,797495.246666667,8662.98719787424,1.08627446170788,0,DDA,43838
2289,A0A2U9PRP1,2175.82151,1102.96848956598,50.6920482446182,0,DDA,17054
835,I7F768,16040.6653333333,3945.15987031405,24.5947396091844,0,DDA,34850
2892,I7GEX6,116.113266,NA,NA,2,DDA,45008
298,A0A2U9PQH6,114521.688,3946.83785556387,3.44636716808075,0,DDA,82578
1785,A0R043,1194.8347,248.028367256993,20.7583833359538,0,DDA,53638
452,A0QWZ9,27733.731,1507.55904043888,5.43583205750024,0,DDA,27292
2418,A0A653FLT2,9023.77633333333,1737.99775795722,19.2602043064516,0,DDA,47434
1413,I7G1B9,2957.28536666667,845.793725778906,28.60034189843,0,DDA,39759
2180,A0A653FA06,345.3057,NA,NA,2,DDA,645945
1336,A0A653FE30,660.83465,54.3173266356602,8.21950341672613,1,DDA,54658
772,A0QNG5,13028.6056666667,1854.1233053927,14.2311721824264,0,DDA,15899
2001,A0QX64,1165.84685,433.793534669945,37.2084493490672,1,DDA,26015
2070,A0A2U9PTN3,3167.2029,468.477900104605,14.7915341989806,1,DDA,20268
1184,A0A2U9PI33,6206.45736666667,2244.12283711111,36.1578708195714,0,DDA,28204
2599,I7G4P8,113.39412,NA,NA,2,DDA,28252
291,A0A653FNL2,69406.4433333333,3358.43692306902,4.83879703637845,0,DDA,14397
625,Q9RP36,76471.653,1274.01749756312,1.66599968430541,0,DDA,23037
830,A0R1B5,71874.8283333333,9618.13683640487,13.3817875596153,0,DDA,22787
1478,A0QYT0,5859.56206666667,1671.37725174969,28.5239277736755,0,DDA,22800
1669,A0A2U9Q107,9031.486,275.998482816482,3.05595870730998,0,DDA,11437
620,A0A2U9PXC0,25483.2983333333,2369.50093834299,9.29825059279543,0,DDA,12411
1734,I7FJS4,19741.065,725.730429366855,3.67624760552105,0,DDA,29343
2692,I7G695,NA,NA,NA,3,DDA,11437
1523,I7GBV8,1678.9709,889.519316151656,52.9800317653901,0,DDA,14486
2466,A0A8B4R3F4,792.467,NA,NA,2,DDA,25198
1742,A0A8B4R3W0,5022.709,539.985679168439,10.7508852129088,0,DDA,16584
1866,I7FD09,2175.01346666667,841.912469026112,38.7083795998924,0,DDA,41835
2569,A0R120,271.45215,NA,NA,2,DDA,21531
1510,A0A8B4QN57,5714.5793,2181.68764143508,38.1775722568953,0,DDA,19014
1140,L0J5J7,2295.63853333333,927.841647127043,40.4175846351468,0,DDA,60750
1085,A0QSL3,96332.7033333333,6662.08104892408,6.91570029533142,0,DDA,30878
703,L0IYE7,NA,NA,NA,3,DDA,61559
2,U5U4F3,81387.43,14392.6722919547,17.6841464240297,0,DDA,15469
1164,I7FBN4,46126.854,1632.57549107047,3.53931679596114,0,DDA,43633
440,A0A653FFI1,13214.8825333333,6813.17466578148,51.5568310849217,0,DDA,53329
779,A0QWJ3,15512.973,1425.07657206937,9.186353718719,0,DDA,41416
1089,A0QWZ6,8925.35676666667,3179.6674280302,35.6251017315659,0,DDA,43355
61,A0A653FG66,328368.46,6864.87942140282,2.09060255707957,0,DDA,21434
2564,A0QY36,85.173035,NA,NA,2,DDA,31285
556,A0R0T8,17093.634,6348.00132950301,37.1366400468327,0,DDA,24086
2568,A0A8B4QNN3,490.4851,NA,NA,2,DDA,32912
428,A0R085,27591.2526666667,3671.78026856637,13.3077693605492,0,DDA,48230
1969,I7GD17,29799.559,8351.31051389487,28.0249466574149,0,DDA,18292
2379,A0A2U9PZW0,NA,NA,NA,3,DDA,29152
1630,A0A2U9PIL5,119.779105,22.7117111973548,18.9613298557831,1,DDA,36926
1416,A0QRA9,2783.5366,NA,NA,2,DDA,34494
1504,U5U4I0,1262.73845,1603.96581337095,127.022806137799,0,DDA,32568
1649,L0IU89,739.1603,NA,NA,2,DDA,13713
2736,A0R093,NA,NA,NA,3,DDA,26693
573,A0R6E5,55806.6493333333,4067.04223252739,7.28773771783883,0,DDA,50938
1460,A0A2U9Q0B6,118804.26,35528.0831710508,29.9047215739998,0,DDA,24911
168,A0A8B4QGE7,68529.1766666667,6517.491358217,9.51053503811784,0,DDA,26853
927,A0A2U9PYF5,11909.8755,2321.71968544767,19.4940718351562,0,DDA,52735
1387,A0QPS6,2020.67095,1876.64124472583,92.8721840993376,1,DDA,81347
1532,A0A2U9Q0I8,184770.9,25140.7895533911,13.6064659280174,0,DDA,18061
2225,A0R3M2,1438.20565,220.045478476257,15.3000009752609,1,DDA,46944
163,A0A8B4R9H7,396868.23,38294.1549422193,9.64908552700712,0,DDA,54690
322,A0QX93,29624.7406666667,13364.8797996744,45.1139132323692,0,DDA,7347
1400,A0A2U9PNM0,1487.54533333333,584.953056202071,39.323376780141,0,DDA,37373
1588,A0QQH2,23341.98,429.948814204669,1.84195519919334,0,DDA,61276
1084,I7GBF0,1567.315,713.426901596793,45.5190501971073,1,DDA,29820
374,A0QZY0,33134.46,3866.99794680331,11.6706231120209,0,DDA,32650
1460,A0R569,118804.26,35528.0831710508,29.9047215739998,0,DDA,28029
312,A0R2D0,49996.7406666667,4265.64671380288,8.53184959044106,0,DDA,52776
1162,L0IWV6,1469.02515333333,463.033779443805,31.5197992623302,0,DDA,17342
2908,A0QRX1,NA,NA,NA,3,DDA,41298
558,I7GAQ9,7129.41756666667,2416.97741518144,33.9014708085262,0,DDA,49720
203,A0A2U9PW43,36518.9553333333,4443.11003003137,12.1665857894238,0,DDA,54106
458,A0A8B4RAN1,35689.0843333333,6730.18241296002,18.8578175615284,0,DDA,55203
3,Q9RLP6,107701.476666667,30176.6413284453,28.0187814154501,0,DDA,67981
2377,A0A2U9PHU6,1492.6758,360.704554951708,24.1649630115065,0,DDA,11900
161,A0A8B4R3Y5,91844.7913333333,3915.78372271316,4.26347936106857,0,DDA,43050
540,A0A8B4QH51,248052.996666667,21017.0394947822,8.47280209358843,0,DDA,26008
1537,A0A8B4R3S8,9606.81833333333,938.78690593677,9.77208971131896,0,DDA,26677
2200,A0A2U9PMC3,972.962465,820.725596813214,84.3532640093381,1,DDA,23940
409,A0QVP0,118097.955,3959.37592071339,3.35262022167394,0,DDA,49825
1016,I7F986,12155.607,1439.41514672766,11.8415735777543,0,DDA,64972
2395,A0A8B4R030,98244.3266666667,5078.42180107495,5.16917563932779,0,DDA,39232
2178,A0A653FEF9,896.27585,176.491519131784,19.6916517533954,1,DDA,144698
447,L0IPJ5,297435.77,17792.0772880488,5.98182165112447,0,DDA,40932
1119,L0J3N9,NA,NA,NA,3,DDA,11510
2189,A0A2U9PQ17,324.51413,107.568916072852,33.1476832989835,1,DDA,46325
2372,A0A653FNV6,819.95074,NA,NA,2,DDA,29934
2251,A0A653FGM9,487.115483333333,210.264543739692,43.1652351308669,0,DDA,23499
1390,A0R098,22223.423,12999.8310964809,58.4960790985302,0,DDA,23335
2274,A0QR98,24239.7626666667,482.031054025914,1.98859642585849,0,DDA,64394
69,A0A2U9PX87,251827.263333333,27567.0847228036,10.9468229761582,0,DDA,36869
2378,A0A8B4R4Z6,1148.53333333333,863.553843070079,75.1875298702762,0,DDA,40902
315,A0A653FKB6,60333.2553333333,37773.5683866971,62.6082053388353,0,DDA,15591
461,I7GA58,17049.5893333333,3933.06096442991,23.0683618680507,0,DDA,25671
540,I7FGD9,212927.253333333,12033.5992349518,5.65150728550162,0,DDA,44131
552,L0J0V2,34330.1553333333,1008.01642253752,2.93624195040787,0,DDA,33458
1883,I7FXQ9,1850.44896666667,136.262265562897,7.36374080115025,0,DDA,13849
2318,A0A8B4QJN0,292.2917,NA,NA,2,DDA,77225
1580,A0A2U9PS43,37952.121,708.009023970035,1.86553216345941,0,DDA,42104
1813,A0A2U9PKZ1,19524.401,2068.7101848258,10.5955116616679,1,DDA,10344
1645,A0QX94,1336.03532,635.905415172536,47.5964524031098,0,DDA,13684
157,I7F683,493173.586666667,5874.57490698122,1.19117792716499,0,DDA,35434
947,A0R788,11131.1576666667,1640.94321108359,14.741891726119,0,DDA,41664
1093,A0A653FHC9,57237.8376666667,4103.84673803181,7.16981441879617,0,DDA,32431
2399,A0A653FKD6,NA,NA,NA,3,DDA,10774
1254,P00215,238021.593333333,18928.7036008527,7.95251528895712,0,DDA,75155
1320,L8FPJ2,1311.72368,410.039006892519,31.2595566539226,0,DDA,20069
2749,A0A653FM89,NA,NA,NA,3,DDA,11433
898,A0A653FPQ5,14017.0376666667,2300.09478205711,16.4092787417335,0,DDA,18005
2243,L0IW56,502.904473333333,416.483757398019,82.8156796135649,0,DDA,13057
744,A0A2U9PWK5,101312.388,9372.29019818593,9.25088272342957,0,DDA,55408
824,A0A8B4QH82,20777.4533333333,3816.3793776943,18.3678880971022,0,DDA,26398
1044,I7FGZ1,132972.783333333,6238.24052072644,4.69136643179722,0,DDA,46923
1070,A0QUZ7,8295.94833333333,2385.74133033578,28.7579096985188,0,DDA,20181
2557,A0A2U9PT39,213.87137,NA,NA,2,DDA,15786
655,A0R083,22168.701,1081.47676126489,4.87839482008843,0,DDA,17300
2473,L0IR67,NA,NA,NA,3,DDA,29213
1741,A0A2U9Q035,3849.1259,411.371257417445,10.6873941799993,0,DDA,17534
817,A0A8B4QNR1,11426.4695333333,4519.68302672754,39.5545011829131,0,DDA,26008
2405,A0A2U9PV54,1085.03976666667,23.3166472208877,2.14892098310078,0,DDA,26261
92,A0QUV6,444223.026666667,13762.6707728745,3.09814438844964,0,DDA,11682
1107,A0A2U9PM41,4711.50007333333,4084.72105590111,86.6968267499403,0,DDA,14177
1919,I7FZC8,1504.84083333333,329.576884906881,21.9011125699483,0,DDA,29337
2014,A0A2U9PHC7,1293.15189,887.526220169346,68.6327899323061,0,DDA,38016
