"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) DDA_300Smeg_D_2","Coverage(%) DDA_300Smeg_D_1","Coverage(%) DDA_300Smeg_D_3","#Peptides","Area DDA_300Smeg_D_2","Area DDA_300Smeg_D_1","Area DDA_300Smeg_D_3","#Unique","#Spec DDA_300Smeg_D_2","#Spec DDA_300Smeg_D_1","#Spec DDA_300Smeg_D_3","PTM","Average Mass","Description"
22,true,"A0A2U9PGZ2|A0A2U9PGZ2_MYCSE",577.3248,60.69,60.69,58.91,55.23,48,99805.98,82044.7,90511.03,17,151.0,140.0,134.0,"Oxidation (M)",93183.27,"DNA gyrase subunit A OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=gyrA PE=3 SV=1"
2578,true,"A0QUC0|A0QUC0_MYCS2",68.6483,6.09,0.00,6.09,6.09,1,,136.52936,,1,,1.0,1.0,"",21338.209,"Transcriptional regulator, TetR family protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_2153 PE=4 SV=1"
1517,true,"I7GBY4|I7GBY4_MYCS2",246.84502,31.00,31.00,28.04,31.00,5,6123.197,3585.6423,6046.6904,5,12.0,8.0,11.0,"Oxidation (M)",28674.088,"Short-chain dehydrogenase/reductase SDR OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3616 PE=4 SV=1"
2374,true,"A0R1A9|A0R1A9_MYCS2",156.0767,12.23,5.64,12.23,5.64,2,657.0601,332.84256,1011.0322,2,3.0,5.0,2.0,"",34216.332,"Oxidoreductase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_4685 PE=3 SV=1"
716,true,"I7G4K2|I7G4K2_MYCS2",323.4834,47.32,47.32,47.32,47.32,11,163369.27,114465.67,164506.7,11,36.0,32.0,42.0,"Oxidation (M)",23544.31,"Fimbrial assembly protein FimA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_1639 PE=4 SV=1"
54,false,"L0J5X3|L0J5X3_9MYCO",368.7075,14.03,12.92,12.50,14.03,14,94549.484,62958.906,99890.83,14,26.0,30.0,33.0,"Oxidation (M)",76780.62,"3-hydroxyacyl-CoA dehydrogenase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_05491 PE=4 SV=1"
289,true,"A0A653FHY9|A0A653FHY9_MYCSM",435.66998,52.45,47.12,50.32,42.64,18,55376.15,56507.5,52960.367,13,48.0,55.0,49.0,"Oxidation (M); Carbamidomethylation",49397.51,"Putative hydrolase OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_03421 PE=4 SV=1"
39,true,"A0A2U9PLK8|A0A2U9PLK8_MYCSE",590.46375,65.19,63.70,65.00,63.52,42,629336.0,577187.75,605514.9,41,176.0,179.0,199.0,"Oxidation (M)",56256.645,"Chaperonin GroEL OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=groEL PE=3 SV=1"
2502,true,"A0A8B4R2I6|A0A8B4R2I6_MYCSM",44.457336,2.97,0.00,2.97,0.00,1,,,,1,,1.0,,"",40103.16,"Transcriptional regulatory protein OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_04584 PE=4 SV=1"
2287,true,"A0QTF3|A0QTF3_MYCS2",119.7233,16.98,16.98,16.98,16.98,2,17835.182,12912.453,15489.305,2,5.0,7.0,7.0,"Oxidation (M)",16292.88,"N5-carboxyaminoimidazole ribonucleotide mutase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=purE PE=3 SV=1"
2259,true,"A0A2U9PZD2|A0A2U9PZD2_MYCSE",99.130455,5.31,2.90,5.31,2.90,2,1908.5101,,1287.5044,2,3.0,3.0,2.0,"",45445.41,"Queuine tRNA-ribosyltransferase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=tgt PE=3 SV=1"
972,false,"L0IYR0|L0IYR0_9MYCO",180.96425,18.90,15.81,10.65,18.90,4,4280.9883,4042.9897,5110.118,4,5.0,8.0,7.0,"",32024.926,"MoxR-like ATPase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_04194 PE=4 SV=1"
1974,true,"A0A653FHH8|A0A653FHH8_MYCSM",189.11536,30.77,19.23,30.77,9.62,3,547.29846,1300.4204,705.03455,3,2.0,5.0,2.0,"",16978.238,"3-dehydroquinate dehydratase OS=Mycolicibacterium smegmatis OX=1772 GN=aroQ PE=3 SV=1"
1481,true,"I7FXB2|I7FXB2_MYCS2",241.96951,16.81,8.41,16.81,6.19,5,4523.7563,7456.0176,1316.5286,5,11.0,9.0,5.0,"Oxidation (M); Carbamidomethylation",48058.125,"Lipoprotein lprQ OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_0907 PE=4 SV=1"
1748,true,"I7FPL7|I7FPL7_MYCS2",154.53772,13.32,3.66,10.44,10.44,4,197.10834,612.58435,1136.2242,4,2.0,5.0,5.0,"",40037.176,"GTP cyclohydrolase 1 type 2 homolog OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_4206 PE=3 SV=1"
2113,true,"A0QZR1|A0QZR1_MYCS2",158.50795,13.39,13.39,8.27,13.39,2,777.14606,246.63315,635.0082,2,2.0,1.0,2.0,"Carbamidomethylation",26457.027,"2-deoxy-D-gluconate 3-dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_4117 PE=4 SV=1"
195,false,"A0A2U9PYM6|A0A2U9PYM6_MYCSE",426.02728,56.63,44.82,53.49,51.81,18,35027.055,27058.312,28410.213,18,35.0,34.0,35.0,"Oxidation (M)",45846.473,"Cysteine--tRNA ligase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=cysS PE=3 SV=1"
542,true,"A0A653FJR0|A0A653FJR0_MYCSM",346.52213,36.36,30.95,34.24,33.08,13,16695.535,20231.92,17230.799,13,21.0,24.0,25.0,"Oxidation (M); Carbamidomethylation",54991.855,"Succinate-semialdehyde dehydrogenase NADP+ dependent (SsdH) GabD2 OS=Mycolicibacterium smegmatis OX=1772 GN=gabD2_2 PE=3 SV=1"
1438,true,"A0A8B4RAP9|A0A8B4RAP9_MYCSM",239.4396,44.53,44.53,44.53,44.53,5,20063.957,19290.893,20230.84,5,13.0,17.0,14.0,"",14278.109,"Uncharacterized protein OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_06561 PE=4 SV=1"
1284,true,"A0A2U9PMC5|A0A2U9PMC5_MYCSE",188.14055,21.13,16.90,0.00,13.38,6,5317.5205,,990.53394,6,6.0,,4.0,"",30775.252,"Aminoglycoside phosphotransferase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_019270 PE=4 SV=1"
2628,true,"A0A653FJI4|A0A653FJI4_MYCSM",66.30663,7.34,7.34,0.00,0.00,1,148.78658,,,1,1.0,,,"",22997.123,"Uncharacterized protein OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_04220 PE=4 SV=1"
2823,true,"A0A8B4R7C2|A0A8B4R7C2_MYCSM",31.715445,3.46,3.46,0.00,0.00,1,,,,1,1.0,,,"",28025.883,"IclR family transcriptional regulator OS=Mycolicibacterium smegmatis OX=1772 GN=iclR_8 PE=4 SV=1"
194,true,"A0A8B4QGK8|A0A8B4QGK8_MYCSM",436.78253,92.82,92.82,90.61,87.29,23,187547.48,183362.78,182402.3,23,73.0,76.0,66.0,"Oxidation (M)",19871.49,"Adenylate kinase OS=Mycolicibacterium smegmatis OX=1772 GN=adk PE=3 SV=1"
119,true,"A0A2U9PYX5|A0A2U9PYX5_MYCSE",477.88492,51.77,49.00,41.78,47.31,28,155478.94,154153.72,125938.59,28,80.0,82.0,79.0,"Oxidation (M); Carbamidomethylation",71212.1,"Acetyl-coenzyme A synthetase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=acsA PE=3 SV=1"
782,true,"A0QUW5|A0QUW5_MYCS2",346.6433,26.34,21.95,20.99,16.60,10,6122.5996,14830.668,4085.9053,10,21.0,16.0,14.0,"Oxidation (M); Carbamidomethylation",55365.297,"4-coumarate:CoA ligase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_2360 PE=4 SV=1"
2550,true,"A0R4C1|A0R4C1_MYCS2",49.901928,3.25,0.00,3.25,3.25,1,,829.81,658.9287,1,,2.0,1.0,"",32713.174,"Phosphate transport system permease protein PstA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=pstA PE=3 SV=1"
254,true,"A0A2U9PXG8|A0A2U9PXG8_MYCSE",438.6235,68.72,68.72,68.72,68.72,20,165236.84,136491.2,171477.55,20,69.0,67.0,59.0,"Oxidation (M); Carbamidomethylation",26054.85,"Enoyl-CoA hydratase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_055270 PE=3 SV=1"
1096,true,"A0A8B4QHD5|A0A8B4QHD5_MYCSM",237.44853,12.13,8.94,12.13,10.34,7,1788.7715,1591.2802,1711.612,7,9.0,8.0,6.0,"Oxidation (M); Carbamidomethylation",86131.33,"Arylsulfatase AtsA OS=Mycolicibacterium smegmatis OX=1772 GN=atsA_1 PE=3 SV=1"
1522,true,"A0A2U9PQ47|A0A2U9PQ47_MYCSE",215.16129,23.67,15.90,15.90,23.67,5,12084.915,8930.303,8794.762,5,8.0,7.0,11.0,"",31780.799,"Acyl-CoA thioesterase II OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_029050 PE=3 SV=1"
2222,true,"A0R1M9|A0R1M9_MYCS2",118.78289,24.68,24.68,10.39,0.00,2,631.356,572.6963,,2,5.0,1.0,,"Oxidation (M)",16264.46,"Uncharacterized protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_4811 PE=4 SV=1"
1098,true,"I7GAX1|I7GAX1_MYCS2",302.502,45.16,35.02,39.17,41.01,7,10447.717,10182.241,10993.444,6,10.0,11.0,14.0,"Carbamidomethylation; Oxidation (M)",23935.592,"LuxR family two-component response regulator OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=devR PE=4 SV=1"
2484,true,"I7FML6|I7FML6_MYCS2",74.17135,3.18,3.18,0.00,3.18,1,,,,1,1.0,,2.0,"",53877.258,"DNA-binding protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_6125 PE=3 SV=1"
256,true,"A0R058|A0R058_MYCS2",402.92203,36.63,30.40,27.20,33.59,20,28851.602,13771.869,29952.129,20,34.0,23.0,43.0,"Oxidation (M); Carbamidomethylation",73263.62,"Asparagine synthase (Glutamine-hydrolyzing) OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=asnB PE=3 SV=1"
1843,false,"A0A2U9PSJ7|A0A2U9PSJ7_MYCSE",111.38737,6.19,6.19,3.00,3.00,2,615.45776,459.52518,491.40558,2,3.0,1.0,1.0,"",57144.215,"D-aminoacylase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_037790 PE=4 SV=1"
1635,true,"A0QS43|A0QS43_MYCS2",292.88364,44.44,44.44,44.44,44.44,4,18194.846,16848.955,16612.67,4,18.0,18.0,18.0,"",15286.447,"Protein translocase subunit SecE OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=secE PE=3 SV=1"
1700,true,"I7GCR8|I7GCR8_MYCS2",159.42738,13.24,10.54,13.24,9.46,4,1630.1857,3967.0095,1804.0195,4,4.0,6.0,3.0,"Carbamidomethylation",40372.55,"Pyruvate dehydrogenase E1 component (Alpha subunit) PdhA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_4595 PE=4 SV=1"
910,true,"A0A2U9PWN4|A0A2U9PWN4_MYCSE",286.07083,46.18,28.57,44.19,35.22,9,14763.756,13766.555,14976.924,9,11.0,18.0,19.0,"Oxidation (M)",31825.746,"Ectoine/hydroxyectoine ABC transporter solute-binding protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_052520 PE=4 SV=1"
1501,true,"A0A8B4R7F9|A0A8B4R7F9_MYCSM",185.56294,15.32,11.06,11.06,15.32,5,1347.574,2607.4277,1278.1316,5,7.0,8.0,9.0,"",50572.277,"GTPase HflX OS=Mycolicibacterium smegmatis OX=1772 GN=hflX PE=3 SV=1"
2761,true,"I7G474|I7G474_MYCS2",36.32963,4.49,0.00,0.00,4.49,1,,,59.426018,1,,,1.0,"",33723.855,"Permease protein of sugar ABC transporter OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3909 PE=4 SV=1"
1047,true,"A0A653FF66|A0A653FF66_MYCSM",274.82233,41.12,35.53,41.12,36.51,8,4768.2256,9148.43,7354.0444,8,10.0,16.0,13.0,"Oxidation (M)",33121.97,"S-adenosyl-L-methionine-dependent methyltransferase OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_02682 PE=3 SV=1"
1476,true,"A0A8B4QG43|A0A8B4QG43_MYCSM",231.7649,37.01,37.01,37.01,37.01,5,5286.9707,8017.752,9997.578,5,10.0,12.0,10.0,"",16645.855,"Leucine-responsive regulatory protein OS=Mycolicibacterium smegmatis OX=1772 GN=lrp_1 PE=4 SV=1"
2243,true,"A0QXC1|A0QXC1_MYCS2",171.07642,9.57,9.57,9.57,9.57,2,432.40353,978.1802,568.1238,2,3.0,4.0,5.0,"Oxidation (M)",36971.02,"ABC transporter branched chain amino acid transport permease OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_3248 PE=4 SV=1"
1923,true,"A0A2U9PME3|A0A2U9PME3_MYCSE",166.90549,26.06,17.58,17.58,26.06,3,3619.9277,3597.9521,3858.0525,3,3.0,3.0,3.0,"",17540.643,"Uncharacterized protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_018750 PE=4 SV=1"
1592,true,"A0A653FA40|A0A653FA40_MYCSM",140.61063,16.88,13.44,16.88,13.44,4,326.88657,1333.2446,485.98718,4,4.0,8.0,6.0,"Oxidation (M)",34352.87,"3-hydroxyacyl-CoA dehydrogenase OS=Mycolicibacterium smegmatis OX=1772 GN=mmgB PE=4 SV=1"
238,true,"A0A653FBE8|A0A653FBE8_MYCSM",479.2377,50.32,44.99,44.99,50.32,21,140159.42,131312.8,149933.05,20,60.0,59.0,68.0,"Oxidation (M)",51655.336,"Trigger factor OS=Mycolicibacterium smegmatis OX=1772 GN=tig PE=3 SV=1"
1283,true,"A0QRG5|MEND_MYCS2",212.3425,17.77,12.82,12.82,17.77,6,9236.439,8495.123,9011.943,5,7.0,7.0,8.0,"Carbamidomethylation; Oxidation (M)",56892.703,"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=menD PE=3 SV=2"
2391,true,"A0A653FIR3|A0A653FIR3_MYCSM",111.6456,12.87,4.04,12.87,4.04,2,1431.5204,2116.6626,1026.7118,2,2.0,5.0,2.0,"",29560.477,"Membrane protein OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_03373 PE=4 SV=1"
257,false,"L0IR73|L0IR73_9MYCO",172.95236,9.43,9.43,9.43,3.23,2,9275.185,9881.504,10307.822,2,9.0,3.0,7.0,"",43898.867,"Acyl-CoA dehydrogenase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_00261 PE=3 SV=1"
2407,true,"A0QQ47|A0QQ47_MYCS2",67.420044,7.63,2.61,7.63,2.61,2,,13186.856,,2,1.0,2.0,1.0,"Carbamidomethylation",46432.254,"Subtilase family protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0624 PE=1 SV=1"
810,true,"I7FIX8|I7FIX8_MYCS2",327.0235,40.66,34.80,39.56,31.14,10,23126.164,15756.534,13791.877,10,20.0,17.0,19.0,"Oxidation (M); Carbamidomethylation",30286.82,"NUDIX hydrolase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_1017 PE=4 SV=1"
1674,false,"A0A653FJC5|A0A653FJC5_MYCSM",74.480865,16.21,0.00,3.36,16.21,3,,,1270.3727,3,,1.0,6.0,"Carbamidomethylation",33551.27,"Alcohol dehydrogenase OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_03548 PE=3 SV=1"
1740,true,"A0QU81|SCMU_MYCS2",183.65825,29.83,16.57,22.65,23.76,4,1675.2976,1898.7524,475.53262,4,3.0,5.0,4.0,"",19490.7,"Secreted chorismate mutase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_2111 PE=1 SV=1"
251,true,"A0QWN3|SYDND_MYCS2",422.85495,44.98,41.97,41.30,42.64,21,120697.06,106730.305,108120.63,21,56.0,50.0,52.0,"Oxidation (M); Carbamidomethylation",65169.516,"Aspartate--tRNA(Asp/Asn) ligase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=aspS PE=1 SV=1"
313,true,"A0A653FJU1|A0A653FJU1_MYCSM",389.84534,21.41,21.41,19.27,21.41,19,48607.56,61408.75,59009.668,19,41.0,48.0,47.0,"Oxidation (M); Carbamidomethylation",96884.0,"Translation initiation factor IF-2 OS=Mycolicibacterium smegmatis OX=1772 GN=infB PE=3 SV=1"
2546,true,"A0A653FPI8|A0A653FPI8_MYCSM",63.885418,8.13,0.00,8.13,0.00,1,,,,1,,1.0,,"Oxidation (M)",23017.768,"Uracil phosphoribosyltransferase OS=Mycolicibacterium smegmatis OX=1772 GN=upp_2 PE=3 SV=1"
495,true,"A0A2U9PL37|A0A2U9PL37_MYCSE",386.0211,68.94,63.64,63.64,63.64,13,251270.7,293135.3,277985.47,13,62.0,64.0,57.0,"Oxidation (M)",14470.63,"30S ribosomal protein S8 OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=rpsH PE=3 SV=1"
1881,false,"L0IVR0|L0IVR0_9MYCO",64.41682,2.85,2.85,2.85,2.85,1,2605.6982,3108.8242,2678.7415,1,1.0,1.0,1.0,"",41494.184,"Alpha-hydroxyacid dehydrogenase, FMN-dependent L-lactate dehydrogenase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_02356 PE=3 SV=1"
426,true,"I7FI10|I7FI10_MYCS2",446.51312,43.75,43.75,43.75,43.75,15,1873.2378,3076.3245,2127.269,2,45.0,44.0,45.0,"Oxidation (M)",27960.818,"DUF1542 domain-containing protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_4563 PE=4 SV=1"
12,false,"A0A6M4AVG2|A0A6M4AVG2_MYCSM",469.7512,71.19,71.19,71.19,71.19,11,112403.305,121494.086,111670.56,4,83.0,93.0,81.0,"Oxidation (M)",12190.778,"Heat shock protein 65 (Fragment) OS=Mycolicibacterium smegmatis OX=1772 GN=hsp65 PE=3 SV=1"
1912,true,"A0R423|A0R423_MYCS2",143.57442,19.53,17.19,19.53,19.53,3,2693.6274,2612.181,2660.641,3,3.0,5.0,6.0,"",14048.866,"Glyoxalase/bleomycin resistance protein/dioxygenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_5678 PE=4 SV=1"
2682,true,"A0A8B4QG55|A0A8B4QG55_MYCSM",107.50307,10.19,0.00,10.19,0.00,1,,,,1,,1.0,,"",17314.986,"ATP/GTP binding protein OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_00517 PE=3 SV=1"
88,false,"L0ITZ0|L0ITZ0_9MYCO",153.7403,6.58,5.41,4.09,5.41,6,2571.6118,2681.874,11651.515,6,4.0,5.0,6.0,"",76434.164,"Threonine--tRNA ligase OS=Mycobacterium sp. JS623 OX=212767 GN=thrS PE=3 SV=1"
231,true,"A0QTE3|A0QTE3_MYCS2",455.43518,62.71,57.97,57.97,54.92,21,124904.695,116499.79,103284.99,16,63.0,61.0,58.0,"Oxidation (M); Carbamidomethylation",32850.664,"Sulfurtransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_1809 PE=4 SV=1"
1809,true,"I7FDD6|I7FDD6_MYCS2",167.28134,24.02,24.02,0.00,0.00,4,4395.424,,,4,8.0,,,"",23095.055,"Transcriptional regulator, TetR family OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3061 PE=4 SV=1"
2286,false,"A0A653FGC5|A0A653FGC5_MYCSM",27.957321,4.42,0.00,4.42,0.00,1,,84.74104,,1,,1.0,,"",33634.875,"Methoxy mycolic acid synthase 1 OS=Mycolicibacterium smegmatis OX=1772 GN=mmaA1_2 PE=3 SV=1"
2842,true,"I7FXM0|I7FXM0_MYCS2",108.47184,12.07,12.07,12.07,0.00,1,1803.1836,1000.8744,,1,3.0,1.0,,"Carbamidomethylation",17559.842,"Secreted protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_1104 PE=4 SV=1"
1585,true,"A0A8B4QGX1|A0A8B4QGX1_MYCSM",163.17773,19.29,13.57,19.29,8.93,4,1177.3861,2214.4353,633.7943,4,5.0,6.0,2.0,"",28283.998,"Fructose-bisphosphate aldolase OS=Mycolicibacterium smegmatis OX=1772 GN=fbaA PE=4 SV=1"
1553,true,"A0A8B4QN87|A0A8B4QN87_MYCSM",247.02863,26.14,18.18,18.18,26.14,5,2558.9138,3114.4377,1918.1094,5,4.0,5.0,11.0,"",28299.693,"Hydrolase (Beta-lactamase-like) OS=Mycolicibacterium smegmatis OX=1772 GN=baeB_2 PE=4 SV=1"
1977,true,"A0A2U9PZN0|A0A2U9PZN0_MYCSE",158.72531,21.56,21.56,21.56,9.87,3,1134.3064,649.6413,1027.2832,3,3.0,6.0,6.0,"",42206.82,"DUF4328 domain-containing protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_063100 PE=4 SV=1"
2441,true,"A0A653FKP0|A0A653FKP0_MYCSM",59.07891,3.32,3.32,0.00,3.32,1,205.3067,,118.00412,1,1.0,,1.0,"",30175.334,"Glucokinase OS=Mycolicibacterium smegmatis OX=1772 GN=glkA PE=4 SV=1"
2200,true,"A0A653FLI5|A0A653FLI5_MYCSM",73.119644,5.87,2.35,5.87,0.00,2,1553.3031,392.62183,,2,1.0,3.0,,"",43968.273,"L-seryl-tRNA(Sec) selenium transferase OS=Mycolicibacterium smegmatis OX=1772 GN=selA PE=3 SV=1"
1228,true,"A0R5U8|A0R5U8_MYCS2",270.19,12.84,12.84,7.77,7.77,6,4705.3447,2440.643,2488.2563,6,9.0,6.0,5.0,"",61194.297,"Penicillin-binding protein, transpeptidase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_6319 PE=4 SV=1"
372,false,"A0A2U9PU98|A0A2U9PU98_MYCSE",334.55484,23.38,20.44,20.29,14.41,12,9836.192,5636.635,7242.1284,12,14.0,20.0,15.0,"",71709.05,"TPM domain-containing protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_043520 PE=4 SV=1"
