Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-1_S1-B6_1_6595.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-2_S1-C6_1_6596.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-3_S1-D6_1_6597.d
A0A2U9PH20;A0A8B4QLA9;A0QNF7;I7F4D7	A0A2U9PH20;A0A8B4QLA9;A0QNF7;I7F4D7	A0A2U9PH20_MYCSE;A0A8B4QLA9_MYCSM;A0QNF7_MYCS2;I7F4D7_MYCS2	D806_000240;MSMEG_0025;MSMEI_0027;NCTC7017_02045	DUF2581 domain-containing protein	40265.1	37215	37108.1
A0A2U9PH22;A0A8B4QKB3;A0QNG5;I7FCA8	A0A2U9PH22;A0A8B4QKB3;A0QNG5;I7FCA8	A0A2U9PH22_MYCSE;A0A8B4QKB3_MYCSM;A0QNG5_MYCS2;I7FCA8_MYCS2	D806_000320;MSMEG_0033;ppp	Protein phosphatase 2C	92620.7	89119.8	92395.6
A0A2U9PH23;A0A8B4QL25;A0QNG2;I7F4E4	A0A2U9PH23;A0A8B4QL25;A0QNG2;I7F4E4	A0A2U9PH23_MYCSE;A0A8B4QL25_MYCSM;A0QNG2_MYCS2;I7F4E4_MYCS2	D806_000290;pknA;pknB_1	non-specific serine/threonine protein kinase	234965	236892	227431
A0A2U9PH26;A0A8B4QKZ1;A0QNF6;I7G2C2	A0A2U9PH26;A0A8B4QKZ1;A0QNF6;I7G2C2	A0A2U9PH26_MYCSE;A0A8B4QKZ1_MYCSM;A0QNF6_MYCS2;I7G2C2_MYCS2	D806_000230;MSMEG_0024;ppiA	Peptidyl-prolyl cis-trans isomerase	2.61164e+06	2.57753e+06	2.54437e+06
A0A2U9PH35;A0A653F9L2;A0QNI0;I7G2E0	A0A2U9PH35;A0A653F9L2;A0QNI0;I7G2E0	A0A2U9PH35_MYCSE;A0A653F9L2_MYCSM;A0QNI0_MYCS2;I7G2E0_MYCS2	BIN_B_00004;D806_000480;MSMEG_0050;MSMEI_0052	Cell wall synthesis protein Wag31	42223.4	39607.3	40878.2
A0A2U9PH44;A0A8B4QKD6;A0QNH7;I7G148	A0A2U9PH44;A0A8B4QKD6;A0QNH7;I7G148	A0A2U9PH44_MYCSE;A0A8B4QKD6_MYCSM;A0QNH7_MYCS2;I7G148_MYCS2	D806_000450;MSMEG_0047;MSMEI_0049;NCTC7017_02023	DUF5642 domain-containing protein	17262.4	19998.6	16450.1
A0A2U9PH47;A0A8B4QKZ7;A0QNJ1;I7G2E5	I7G2E5;A0A2U9PH47;A0A8B4QKZ7;A0QNJ1	A0A2U9PH47_MYCSE;A0A8B4QKZ7_MYCSM;A0QNJ1_MYCS2;I7G2E5_MYCS2	D806_000580;MSMEG_0061;MSMEI_0062;eccCa1_3	Ftsk/spoiiie family protein	57967.5	61152.8	58609
A0A2U9PH51;A0A8B4QK93;A0QNI4;I7FVF9	A0A2U9PH51;A0A8B4QK93;A0QNI4;I7FVF9	A0A2U9PH51_MYCSE;A0A8B4QK93_MYCSM;A0QNI4_MYCS2;I7FVF9_MYCS2	D806_000510;MSMEG_0053;MSMEI_0055;NCTC7017_02016	CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein	89584.9	96639.6	91921.5
A0A2U9PH54;A0A653FNI2;A0QNI8;I7G154	A0A2U9PH54;A0A653FNI2;A0QNI8;I7G154	A0A2U9PH54_MYCSE;A0A653FNI2_MYCSM;A0QNI8_MYCS2;I7G154_MYCS2	D806_000550;MSMEG_0058;MSMEI_0059;espD_4	Secretion protein EspD	38706.9	37240.7	35897.9
A0A2U9PH62;A0A653FNR5;A0QNJ4;I7FVG7	A0A2U9PH62;A0A653FNR5;A0QNJ4;I7FVG7	A0A2U9PH62_MYCSE;A0A653FNR5_MYCSM;A0QNJ4_MYCS2;I7FVG7_MYCS2	D806_000610;MSMEG_0064;ppe68	Ppe family protein	46035.6	44420.9	46726.3
A0A2U9PH64;A0A653FNH0;A0QNJ8	A0A2U9PH64;A0A653FNH0;A0QNJ8	A0A2U9PH64_MYCSE;A0A653FNH0_MYCSM;A0QNJ8_MYCS2	D806_000650;MSMEG_0068;eccD1_2	Type VII secretion integral membrane protein EccD	37418.5	35778.6	30584.5
A0A2U9PH70;A0A653FNL2;A0A8B4QKB7;A0QNJ7;I7F4I6	A0A2U9PH70;A0A653FNL2;A0A8B4QKB7;A0QNJ7;I7F4I6	A0A2U9PH70_MYCSE;A0A653FNL2_MYCSM;A0A8B4QKB7_MYCSM;A0QNJ7_MYCS2;I7F4I6_MYCS2	BIN_B_05625;D806_000640;MSMEG_0067;MSMEI_0068;NCTC7017_02003	CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein	217152	217534	220161
A0A2U9PH73;A0A653FNH6;A0QNL3;I7F4K0	A0A2U9PH73;A0A653FNH6;A0QNL3;I7F4K0	A0A2U9PH73_MYCSE;A0A653FNH6_MYCSM;A0QNL3_MYCS2;I7F4K0_MYCS2	D806_000900;MSMEG_0085;MSMEI_0083;fruA	PTS system, Fru family protein, IIABC components	125339	118000	114895
A0A2U9PH75;A0A653FNP5;A0QNL5;I7FVI4	A0A2U9PH75;A0A653FNP5;A0QNL5;I7FVI4;L0IP19	A0A2U9PH75_MYCSE;A0A653FNP5_MYCSM;A0QNL5_MYCS2;I7FVI4_MYCS2	D806_000920;MSMEG_0087;MSMEI_0085;srlR_3	Glucitol operon repressor	70376.8	70096.7	68674.7
A0A2U9PH78;A0A8B4QKG8;A0QNM0;I7FVI8	A0A2U9PH78;A0A8B4QKG8;A0QNM0;I7FVI8	A0A2U9PH78_MYCSE;A0A8B4QKG8_MYCSM;A0QNM0_MYCS2;I7FVI8_MYCS2	D806_000970;MSMEG_0092;MSMEI_0090;NCTC7017_01977	Putative transcriptional regulatory protein	70153.9	76443.8	76953
A0A2U9PH79;A0A8B4QL59;A0QNK9;I7G166	A0A2U9PH79;A0A8B4QL59;A0QNK9;I7G166	A0A2U9PH79_MYCSE;A0A8B4QL59_MYCSM;A0QNK9_MYCS2;I7G166_MYCS2	D806_000860;MSMEG_0081;MSMEI_0079;espL	DNA-binding protein	77835.6	85920.1	82571.7
A0A2U9PH86;A0A653FNL5;A0QNL6;I7FCF3	A0A2U9PH86;A0A653FNL5;A0QNL6;I7FCF3	A0A2U9PH86_MYCSE;A0A653FNL5_MYCSM;A0QNL6_MYCS2;I7FCF3_MYCS2	D806_000930;MSMEI_0086;ptsI;ptsI_2	Phosphoenolpyruvate-protein phosphotransferase	76250.2	76542.9	77975.7
A0A2U9PH94;A0A653FPL3;A0QNN1;I7G178	A0A2U9PH94;A0A653FPL3;A0QNN1;I7G178	A0A2U9PH94_MYCSE;A0A653FPL3_MYCSM;A0QNN1_MYCS2;I7G178_MYCS2	D806_001080;MSMEG_0103;MSMEI_0099;ynfM	Major facilitator family protein transporter	7922.31	7683.13	9065.18
A0A2U9PH95;A0A653FNK4;A0QNM6;I7FVJ1	A0A2U9PH95;A0A653FNK4;A0QNM6;I7FVJ1	A0A2U9PH95_MYCSE;A0A653FNK4_MYCSM;A0QNM6_MYCS2;I7FVJ1_MYCS2	D806_001030;MSMEG_0098;MSMEI_0095;ubiE_2	Methyltransferase	33557.6	37134.3	37695.1
A0A2U9PH96;A0A8B4QL35;A0QNM9;I7G2G8	A0A2U9PH96;A0A8B4QL35;A0QNM9;I7G2G8	A0A2U9PH96_MYCSE;A0A8B4QL35_MYCSM;A0QNM9_MYCS2;I7G2G8_MYCS2	D806_001060;MSMEG_0100;ptbB	Phosphotyrosine protein phosphatase ptpb	120358	122676	119416
A0A2U9PH98;A0A653FPT8;A0QNL7;I7G2G2	A0A2U9PH98;A0A653FPT8;A0QNL7;I7G2G2	A0A2U9PH98_MYCSE;A0A653FPT8_MYCSM;A0QNL7_MYCS2;I7G2G2_MYCS2	D806_000940;MSMEG_0089;MSMEI_0087;yhhW_2	Chromosome condensation protein	18367.5	18808.3	18040
A0A2U9PHA0;A0A653FPK1;A0A8B4QL17;A0QNP4;I7G2H8	A0A2U9PHA0;A0A653FPK1;A0A8B4QL17;A0QNP4;I7G2H8	A0A2U9PHA0_MYCSE;A0A653FPK1_MYCSM;A0A8B4QL17_MYCSM;A0QNP4_MYCS2;I7G2H8_MYCS2	D806_001200;MSMEI_0112;dehII;hdl	Haloacid dehalogenase, type II	18886.9	26614	25922.9
A0A2U9PHA1;A0A653FP00;A0QNP6;I7G185	A0A2U9PHA1;A0A653FP00;A0QNP6;I7G185	A0A2U9PHA1_MYCSE;A0A653FP00_MYCSM;A0QNP6_MYCS2;I7G185_MYCS2	BIN_B_05738;D806_001220;MSMEG_0118;MSMEI_0114	Zinc finger CGNR domain-containing protein	48416.8	38202.6	36894.3
A0A2U9PHA2;A0A8B4QK46;A0QNP2;I7FVK4	A0A2U9PHA2;A0A8B4QK46;A0QNP2;I7FVK4	A0A2U9PHA2_MYCSE;A0A8B4QK46_MYCSM;A0QNP2_MYCS2;I7FVK4_MYCS2	D806_001180;MSMEG_0114;MSMEI_0110;tauA_3	Extracellular solute-binding protein, family protein 3	16408.1	17891	16943.4
A0A2U9PHA4;A0A8B4QK90;A0QNN6;I7G180	A0A2U9PHA4;A0A8B4QK90;A0QNN6;I7G180;L0IQN0	A0A2U9PHA4_MYCSE;A0A8B4QK90_MYCSM;A0QNN6_MYCS2;I7G180_MYCS2	D806_001130;MSMEG_0108;MSMEI_0104;NCTC7017_01961	Acyl-CoA dehydrogenase	125323	124206	120820
A0A2U9PHA6;A0A653FNW9;A0QNN9;I7G2H4	A0A2U9PHA6;A0A653FNW9;A0QNN9;I7G2H4	A0A2U9PHA6_MYCSE;A0A653FNW9_MYCSM;A0QNN9_MYCS2;I7G2H4_MYCS2	D806_001160;MSMEG_0111;MSMEI_0107;corA_2	Putative magnesium transport protein	18430.4	22799.8	22811.6
A0A2U9PHA9;A0A8B4QKR5;A0QNN2;I7FVJ5	A0A2U9PHA9;A0A8B4QKR5;A0QNN2;I7FVJ5	A0A2U9PHA9_MYCSE;A0A8B4QKR5_MYCSM;A0QNN2_MYCS2;I7FVJ5_MYCS2	D806_001090;MSMEG_0104;MSMEI_0100;gltC_2	Transcriptional regulator, LysR family protein	18412.5	19259.4	18469.7
A0A2U9PHB0;A0A8B4QKD4;A0QNQ7;I7FVL6	A0A2U9PHB0;A0A8B4QKD4;A0QNQ7;I7FVL6	A0A2U9PHB0_MYCSE;A0A8B4QKD4_MYCSM;A0QNQ7_MYCS2;I7FVL6_MYCS2	D806_001320;MSMEG_0129;MSMEI_0126;NCTC7017_01942	Cyclase/dehydrase family protein	113631	106744	110262
A0A2U9PHB1;A0A8B4QL05;A0QNQ5;I7F4P5	A0A2U9PHB1;A0A8B4QL05;A0QNQ5;I7F4P5	A0A2U9PHB1_MYCSE;A0A8B4QL05_MYCSM;A0QNQ5_MYCS2;I7F4P5_MYCS2	D806_001300;MSMEG_0127;adhE1	Oxidoreductase, zinc-binding dehydrogenase family protein	192291	190132	194200
A0A2U9PHB2;A0A8B4QK36;A0QNQ3;I7FCI4	A0A2U9PHB2;A0A8B4QK36;A0QNQ3;I7FCI4	A0A2U9PHB2_MYCSE;A0A8B4QK36_MYCSM;A0QNQ3_MYCS2;I7FCI4_MYCS2	D806_001280;MSMEG_0124;MSMEI_0121;lutR_7	Transcriptional regulator, GntR family protein	1644.43	3397.16	2922.62
A0A2U9PHB4;A0A8B4QK81;A0QNP8;I7FCH9	A0A2U9PHB4;A0A8B4QK81;A0QNP8;I7FCH9	A0A2U9PHB4_MYCSE;A0A8B4QK81_MYCSM;A0QNP8_MYCS2;I7FCH9_MYCS2	D806_001230;MSMEG_0120;MSMEI_0116;kstR2_6	Putative transcriptional regulatory protein	64478.3	65606.1	63983.9
A0A2U9PHB6;A0A653FPC5;A0QNL4;I7G169	A0A653FPC5;A0A2U9PHB6;A0QNL4;I7G169	A0A2U9PHB6_MYCSE;A0A653FPC5_MYCSM;A0QNL4_MYCS2;I7G169_MYCS2	D806_000910;MSMEG_0086;MSMEI_0084;lacC_2	1-phosphofructokinase	91076.9	96014.5	94984.9
A0A2U9PHB7;A0A653FPS8;A0A8B4QK51;A0QNN7;I7FVJ9	A0A2U9PHB7;A0A8B4QK51;A0A8B4R5F0;A0QNN7;A0QZQ2;I7FVJ9;I7G4E3;A0A653FPS8	A0A2U9PHB7_MYCSE;A0A653FPS8_MYCSM;A0A8B4QK51_MYCSM;A0QNN7_MYCS2;I7FVJ9_MYCS2	D806_001140;MSMEI_0105;pntB;pntB_2	NAD(P) transhydrogenase subunit beta	124792	120183	120300
A0A2U9PHC0;A0A653FPJ2;A0QNR5;I7F4Q7	A0A2U9PHC0;A0A653FPJ2;A0QNR5;I7F4Q7	A0A2U9PHC0_MYCSE;A0A653FPJ2_MYCSM;A0QNR5_MYCS2;I7F4Q7_MYCS2	D806_001400;MSMEG_0137;mce2D	Virulence factor mce family protein	9052.04	10920.2	8716.44
A0A2U9PHC2;A0A8B4QK25;A0QNR3;I7FCJ0	A0A2U9PHC2;A0A8B4QK25;A0QNR3;I7FCJ0	A0A2U9PHC2_MYCSE;A0A8B4QK25_MYCSM;A0QNR3_MYCS2;I7FCJ0_MYCS2	D806_001380;MSMEG_0135;mce2B;mce2B_2	Virulence factor Mce family protein	7048.84	7205.02	8785.12
A0A2U9PHC5;A0A653FNV3;A0QNQ4;I7G2I5	A0A2U9PHC5;A0A653FNV3;A0QNQ4;I7G2I5	A0A2U9PHC5_MYCSE;A0A653FNV3_MYCSM;A0QNQ4_MYCS2;I7G2I5_MYCS2	D806_001290;MSMEG_0126;MSMEI_0122;mdlA	Mandelate racemase/muconate lactonizing enzyme	41747.7	53802.7	53551.9
A0A2U9PHC7;A0A653FNX6;A0QNP9;I7G2I2	A0A2U9PHC7;A0A653FNX6;A0QNP9;I7G2I2	A0A2U9PHC7_MYCSE;A0A653FNX6_MYCSM;A0QNP9_MYCS2;I7G2I2_MYCS2	D806_001240;MSMEG_0121;MSMEI_0117;rhlG_2	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase	31735.5	30847	30400
A0A2U9PHC8;A0A8B4QL03;A0QNR1;I7G194	A0A2U9PHC8;A0A8B4QL03;A0QNR1;I7G194	A0A2U9PHC8_MYCSE;A0A8B4QL03_MYCSM;A0QNR1_MYCS2;I7G194_MYCS2	D806_001360;MSMEG_0133;mlaE_3;yrbE1B	ABC-transporter integral membrane protein	11688.5	12463	14240
A0A2U9PHD3;A0A653FPZ2;A0QNR8;I7FCJ5	A0A2U9PHD3;A0A653FPZ2;A0QNR8;I7FCJ5	A0A2U9PHD3_MYCSE;A0A653FPZ2_MYCSM;A0QNR8_MYCS2;I7FCJ5_MYCS2	BIN_B_05717;D806_001430;MSMEG_0140;MSMEI_0137	Mce associated membrane protein	6884.36	6004.58	5940.52
A0A2U9PHD8;A0A653FNT6;A0QNS1;I7G1A0	A0A2U9PHD8;A0A653FNT6;A0QNS1;I7G1A0	A0A2U9PHD8_MYCSE;A0A653FNT6_MYCSM;A0QNS1_MYCS2;I7G1A0_MYCS2	BIN_B_05714;D806_001460;MSMEG_0143;MSMEI_0140	Mammalian cell entry protein	21407.6	22464	23192.4
A0A2U9PHE3;A0A8B4QK05;A0QNT3;I7FCK7	A0A2U9PHE3;A0A8B4QK05;A0QNT3;I7FCK7	A0A2U9PHE3_MYCSE;A0A8B4QK05_MYCSM;A0QNT3_MYCS2;I7FCK7_MYCS2	D806_001580;MSMEG_0155;MSMEI_0152;fixL	Transcriptional regulator	25093.6	22036	24985.4
A0A2U9PHE5;A0A653FP22;A0QNP5;I7F4N6	A0A2U9PHE5;A0A653FP22;A0QNP5;I7F4N6	A0A2U9PHE5_MYCSE;A0A653FP22_MYCSM;A0QNP5_MYCS2;I7F4N6_MYCS2	D806_001210;MSMEG_0117;MSMEI_0113;dhaA_4	Hydrolase	22674.7	24459.2	22950
A0A2U9PHE8;A0A8B4QKY2;A0QNT1;I7G1A6	A0A2U9PHE8;A0A8B4QKY2;A0QNT1;I7G1A6;L0IQW2	A0A2U9PHE8_MYCSE;A0A8B4QKY2_MYCSM;A0QNT1_MYCS2;I7G1A6_MYCS2	D806_001560;MSMEI_0150;NCTC7017_01918;panE	2-dehydropantoate 2-reductase	15604.5	13480.1	14216.3
A0A2U9PHE9	A0A2U9PHE9	A0A2U9PHE9_MYCSE	D806_001440	RDD domain-containing protein	24125.6	22320.5	17625.9
A0A2U9PHF6;A0A8B4QK57;A0QNQ6;I7G191	A0A2U9PHF6;A0A8B4QK57;A0QNQ6;I7G191	A0A2U9PHF6_MYCSE;A0A8B4QK57_MYCSM;A0QNQ6_MYCS2;I7G191_MYCS2	D806_001310;MSMEG_0128;MSMEI_0125;NCTC7017_01943	Thioesterase superfamily protein	21831.7	22602.1	20490.7
A0A2U9PHF7;A0A8B4QKW1;A0QNV2;I7G1B8	A0A2U9PHF7;A0A8B4QKW1;A0QNV2;I7G1B8	A0A2U9PHF7_MYCSE;A0A8B4QKW1_MYCSM;A0QNV2_MYCS2;I7G1B8_MYCS2	D806_001770;MSMEG_0174;MSMEI_0170;yidH_2	Putative inner membrane protein	5682.09	7553.27	7836.1
A0A2U9PHG2;A0A8B4QKJ6;A0QNU4;I7G2L2	A0A2U9PHG2;A0A8B4QKJ6;A0QNU4;I7G2L2	A0A2U9PHG2_MYCSE;A0A8B4QKJ6_MYCSM;A0QNU4_MYCS2;I7G2L2_MYCS2	D806_001690;MSMEG_0166;MSMEI_0163;lutR_6	GntR-family protein transcriptional regulator	30506.2	28626.7	28667.3
A0A2U9PHH4;A0A653FPF5;A0QNV0;I7G2L6	A0A2U9PHH4;A0A653FPF5;A0QNV0;I7G2L6	A0A2U9PHH4_MYCSE;A0A653FPF5_MYCSM;A0QNV0_MYCS2;I7G2L6_MYCS2	BIN_B_05481;D806_001750;MSMEG_0172;MSMEI_0168	Transmembrane protein	22954.5	18763.2	17046.6
A0A2U9PHH5;A0A653FN92	A0A2U9PHH5;A0A653FN92	A0A2U9PHH5_MYCSE;A0A653FN92_MYCSM	D806_001510;acrR_4	Transcriptional regulator, TetR family protein	22085.9	21841.9	19954.4
A0A2U9PHI2;A0A653FPE8;A0QNW0;I7G2M2	A0A2U9PHI2;A0A653FPE8;A0QNW0;I7G2M2	A0A2U9PHI2_MYCSE;A0A653FPE8_MYCSM;A0QNW0_MYCS2;I7G2M2_MYCS2	BIN_B_05471;D806_001850;MSMEG_0182;MSMEI_0178	Epoxide hydrolase 1	8139.27	7342.35	10459.1
A0A2U9PHI6;A0A653FN82;A0QNT6;I7G1A9	A0A2U9PHI6;A0A653FN82;A0QNT6;I7G1A9	A0A2U9PHI6_MYCSE;A0A653FN82_MYCSM;A0QNT6_MYCS2;I7G1A9_MYCS2	frc;frc_12	Formyl-CoA:oxalate CoA-transferase	13876.1	15461.1	14830.5
A0A2U9PHJ8;A0A653FPY6;A0QNY5;I7FVS3	A0A2U9PHJ8;A0A653FPY6;A0QNY5;I7FVS3	A0A2U9PHJ8_MYCSE;A0A653FPY6_MYCSM;A0QNY5_MYCS2;I7FVS3_MYCS2	D806_002200;MSMEG_0208;MSMEI_0201;rnaSA	Ribonuclease	6582.46	5175.84	5448.28
A0A2U9PHK1;A0A653FNY9;A0QNY3;I7F4Y1	A0A2U9PHK1;A0A653FNY9;A0QNY3;I7F4Y1	A0A2U9PHK1_MYCSE;A0A653FNY9_MYCSM;A0QNY3_MYCS2;I7F4Y1_MYCS2	D806_002180;MSMEG_0207;MSMEI_0199;hosA	MarR-family protein transcriptional regulator	16132.2	15319.2	15936.9
A0A2U9PHK2;A0A8B4QK38;A0QNZ2;I7G2N8	A0A2U9PHK2;A0A8B4QK38;A0QNZ2;I7G2N8	A0A2U9PHK2_MYCSE;A0A8B4QK38_MYCSM;A0QNZ2_MYCS2;I7G2N8_MYCS2	D806_002270;MSMEG_0215;MSMEI_0208;yhhW_1	YhhW family protein	98088.6	107190	99272.8
A0A2U9PHK6;A0A653FNQ4;A0QNY7;I7G2N5	A0A2U9PHK6;A0A653FNQ4;A0QNY7;I7G2N5	A0A2U9PHK6_MYCSE;A0A653FNQ4_MYCSM;A0QNY7_MYCS2;I7G2N5_MYCS2	BIN_B_05705;D806_002220;MSMEG_0210;MSMEI_0203	LprO protein	13723.4	12198.9	11124
A0A2U9PHK7;A0A8B4QKQ2;A0QNZ5;I7FVS9	A0A2U9PHK7;A0A8B4QKQ2;A0QNZ5;I7FVS9	A0A2U9PHK7_MYCSE;A0A8B4QKQ2_MYCSM;A0QNZ5_MYCS2;I7FVS9_MYCS2	D806_002300;MSMEG_0218;MSMEI_0211;NCTC7017_01854	3-demethylubiquinone-9 3-methyltransferase	454.496	767.551	1165.42
A0A2U9PHL0;A0A653FNS7;A0QNY8;I7F4Y8	A0A2U9PHL0;A0A653FNS7;A0QNY8;I7F4Y8	A0A2U9PHL0_MYCSE;A0A653FNS7_MYCSM;A0QNY8_MYCS2;I7F4Y8_MYCS2	D806_002230;MSMEG_0211;MSMEI_0204;uvrA_3	ABC transporter, ATP-binding protein	70307.9	71234.4	69807.2
A0A2U9PHM0;A0A653FNS6;A0QNZ1;I7FCQ2	A0A2U9PHM0;A0A653FNS6;A0QNZ1;I7FCQ2	A0A2U9PHM0_MYCSE;A0A653FNS6_MYCSM;A0QNZ1_MYCS2;I7FCQ2_MYCS2	BIN_B_05701;D806_002260;MSMEG_0214;MSMEI_0207	L-sorbosone dehydrogenase	66623.2	64114.2	62434
A0A2U9PHM4;A0A2U9PRN7;A0A653FMW2;A0A8B4QJU3;A0QP03;A0QY11;I7F503;I7FMG8	A0A2U9PHM4;A0A2U9PRN7;A0A653FMW2;A0A8B4QJU3;A0QP03;A0QY11;I7F503;I7FMG8	A0A2U9PHM4_MYCSE;A0A2U9PRN7_MYCSE;A0A653FMW2_MYCSM;A0A8B4QJU3_MYCSM;A0QP03_MYCS2;A0QY11_MYCS2;I7F503_MYCS2;I7FMG8_MYCS2	D806_002380;D806_034970;MSMEG_0226;MSMEG_3495;NCTC7017_01846;mmpS4_5;mmpS5	MmpS5 protein	31102.7	30823.3	30098.8
A0A2U9PHM6;A0A8B4QKE0;A0QNZ4;I7G1D6	A0A2U9PHM6;A0A8B4QKE0;A0QNZ4;I7G1D6	A0A2U9PHM6_MYCSE;A0A8B4QKE0_MYCSM;A0QNZ4_MYCS2;I7G1D6_MYCS2	D806_002290;MSMEG_0217;adhB;xylB_2	alcohol dehydrogenase	26665.1	28782.1	27528.5
A0A2U9PHM7;A0A8B4QKN3;A0QP15;I7FVU5	A0A2U9PHM7;A0A8B4QKN3;A0QP15;I7FVU5	A0A2U9PHM7_MYCSE;A0A8B4QKN3_MYCSM;A0QP15_MYCS2;I7FVU5_MYCS2	D806_002500;MSMEG_0238;MSMEI_0231;yccU	O-acetylhomoserine/O-acetylserine sulfhydrylase	105507	108489	112699
